WCVP_id,accepted_binomial,EUNIS_name,species_type,Habitat level 1,Habitat level 3
2650910,Argyrolobium zanonii,Argyrolobium zanonii,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
2652301,Armeria alpina,Armeria canescens,Diagnostic,Grasslands,Balkan and Anatolian oromediterranean dry grassland
2652301,Armeria alpina,Armeria canescens,Constant,Grasslands,Balkan and Anatolian oromediterranean dry grassland
2652293,Armeria caespitosa,Armeria caespitosa,Diagnostic,Grasslands,Iberian oromediterranean siliceous dry grassland
2652651,Armeria maritima,Armeria multiceps,Diagnostic,Grasslands,Cyrno-Sardean oromediterranean siliceous dry grassland
3198060,Artemisia glacialis,Artemisia pedemontana,Diagnostic,Grasslands,Iberian oromediterranean basiphilous dry grassland
3014186,Arthrocaulon macrostachyum,Arthrocnemum macrostachyum,Diagnostic,Grasslands,Mediterranean inland salt steppe
274949,Asparagus aphyllus,Asparagus aphyllus,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
275522,Asphodelus fistulosus,Asphodelus fistulosus,Constant,Scrublands,Mediterranean halo-nitrophilous scrub
275522,Asphodelus fistulosus,Asphodelus fistulosus,Diagnostic,Scrublands,Mediterranean halo-nitrophilous scrub
3040189,Atractylis cancellata,Atractylis cancellata,Diagnostic,Grasslands,Mediterranean annual-rich dry grassland
3040189,Atractylis cancellata,Atractylis cancellata,Constant,Grasslands,Mediterranean annual-rich dry grassland
2665336,Atriplex halimus,Atriplex halimus,Diagnostic,Scrublands,Mediterranean halo-nitrophilous scrub
2665336,Atriplex halimus,Atriplex halimus,Constant,Scrublands,Mediterranean halo-nitrophilous scrub
397352,Avena barbata,Avena barbata,Constant,Man-made,Mediterranean subnitrophilous annual grassland
397352,Avena barbata,Avena barbata,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
397352,Avena barbata,Avena barbata,Constant,Scrublands,Thermomediterranean arid scrub
397352,Avena barbata,Avena barbata,Constant,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
397352,Avena barbata,Avena barbata,Constant,Coastal,Mediterranean coniferous coastal dune forest
397959,Avena fatua,Avena sterilis,Diagnostic,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
397959,Avena fatua,Avena sterilis,Constant,Man-made,Mediterranean subnitrophilous annual grassland
397959,Avena fatua,Avena sterilis,Diagnostic,Man-made,Mediterranean subnitrophilous annual grassland
397959,Avena fatua,Avena sterilis,Constant,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
397352,Avena sativa,Avena barbata,Constant,Man-made,Mediterranean subnitrophilous annual grassland
397352,Avena sativa,Avena barbata,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
397352,Avena sativa,Avena barbata,Constant,Scrublands,Thermomediterranean arid scrub
397352,Avena sativa,Avena barbata,Constant,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
397352,Avena sativa,Avena barbata,Constant,Coastal,Mediterranean coniferous coastal dune forest
397959,Avena sterilis,Avena sterilis,Diagnostic,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
397959,Avena sterilis,Avena sterilis,Constant,Man-made,Mediterranean subnitrophilous annual grassland
397959,Avena sterilis,Avena sterilis,Diagnostic,Man-made,Mediterranean subnitrophilous annual grassland
397959,Avena sterilis,Avena sterilis,Constant,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
2922692,Bellis perennis,Bellis perennis,Constant,Grasslands,Balkan and Anatolian oromediterranean dry grassland
2676873,Bituminaria bituminosa,Bituminaria bituminosa,Constant,Grasslands,Mediterranean tall perennial dry grassland
2676873,Bituminaria bituminosa,Bituminaria bituminosa,Constant,Scrublands,Thermomediterranean arid scrub
2676873,Bituminaria bituminosa,Bituminaria bituminosa,Constant,Forests,Mediterranean thermophilous deciduous forest
221905,Bolboschoenus maritimus,Bolboschoenus maritimus,Dominant,Coastal,Mediterranean and Black Sea moist and wet dune slack
221905,Bolboschoenus maritimus,Bolboschoenus maritimus,Constant,Coastal,Mediterranean and Black Sea moist and wet dune slack
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Diagnostic,Grasslands,Mediterranean short moist grassland of lowlands
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Constant,Grasslands,Mediterranean short moist grassland of lowlands
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Constant,Grasslands,Mediterranean tall perennial dry grassland
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Constant,Forests,Mediterranean thermophilous deciduous forest
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Constant,Grasslands,Mediterranean tall humid inland grassland
399988,Brachypodium phoenicoides,Brachypodium phoenicoides,Dominant,Grasslands,Mediterranean tall perennial dry grassland
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Mediterranean maquis and arborescent matorral
400076,Brachypodium retusum,Brachypodium retusum,Constant,Grasslands,Mediterranean tall perennial dry grassland
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Western Mediterranean spiny heath
400076,Brachypodium retusum,Brachypodium retusum,Dominant,Forests,Mediterranean lowland to submontane Pinus forest
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Mediterranean gypsum scrub
400076,Brachypodium retusum,Brachypodium retusum,Constant,Coastal,Mediterranean coniferous coastal dune forest
400076,Brachypodium retusum,Brachypodium retusum,Constant,Forests,Mediterranean evergreen Quercus forest
400076,Brachypodium retusum,Brachypodium retusum,Diagnostic,Scrublands,Western Mediterranean spiny heath
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Thermomediterranean arid scrub
400076,Brachypodium retusum,Brachypodium retusum,Constant,Forests,Mediterranean thermophilous deciduous forest
400076,Brachypodium retusum,Brachypodium retusum,Dominant,Grasslands,Mediterranean tall perennial dry grassland
400076,Brachypodium retusum,Brachypodium retusum,Constant,Scrublands,Western Mediterranean mountain hedgehog-heath
400076,Brachypodium retusum,Brachypodium retusum,Diagnostic,Scrublands,Mediterranean gypsum scrub
400076,Brachypodium retusum,Brachypodium retusum,Diagnostic,Grasslands,Mediterranean tall perennial dry grassland
400076,Brachypodium retusum,Brachypodium retusum,Constant,Forests,Mediterranean Cupressaceae forest
400076,Brachypodium retusum,Brachypodium retusum,Dominant,Coastal,Mediterranean coniferous coastal dune forest
400076,Brachypodium retusum,Brachypodium retusum,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2682595,Brassica barrelieri,Brassica oxyrrhina,Diagnostic,Grasslands,Open Iberian supramediterranean dry acid and neutral grassland
400234,Briza maxima,Briza maxima,Constant,Grasslands,"Mediterranean to Atlantic open, dry, acid and neutral grassland"
400234,Briza maxima,Briza maxima,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
400234,Briza maxima,Briza maxima,Constant,Coastal,Mediterranean coniferous coastal dune forest
400234,Briza maxima,Briza maxima,Constant,Scrublands,Thermomediterranean arid scrub
400948,Bromus erectus,Bromopsis erecta,Constant,Scrublands,Western Mediterranean mountain hedgehog-heath
400948,Bromus erectus,Bromopsis erecta,Constant,Scrublands,Central Mediterranean mountain hedgehog-heath
400948,Bromus erectus,Bromopsis erecta,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
400948,Bromus erectus,Bromopsis erecta,Constant,Grasslands,Iberian oromediterranean basiphilous dry grassland
400948,Bromus erectus,Bromopsis erecta,Constant,Grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region
400948,Bromus erectus,Bromopsis erecta,Constant,Scrublands,Lowland to montane temperate and submediterranean Juniperus scrub
400948,Bromus erectus,Bromopsis erecta,Diagnostic,Grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region
400948,Bromus erectus,Bromopsis erecta,Diagnostic,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
400948,Bromus erectus,Bromopsis erecta,Constant,Grasslands,Mediterranean short moist grassland of lowlands
400948,Bromus erectus,Bromopsis erecta,Constant,Scrublands,Submediterranean pseudomaquis
400948,Bromus erectus,Bromopsis erecta,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
400948,Bromus erectus,Bromopsis erecta,Constant,Forests,Mediterranean thermophilous deciduous forest
400948,Bromus erectus,Bromopsis erecta,Dominant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
400948,Bromus erectus,Bromopsis erecta,Dominant,Grasslands,Dry steppic submediterranean pasture of the Amphi-Adriatic region
401143,Bromus hordeaceus,Bromus hordeaceus,Constant,Man-made,Dry Mediterranean land with unpalatable non-vernal herbaceous vegetation
401143,Bromus hordeaceus,Bromus hordeaceus,Constant,Grasslands,Submediterranean moist meadow
401143,Bromus hordeaceus,Bromus hordeaceus,Constant,Grasslands,Mediterranean closely grazed dry grassland
401143,Bromus hordeaceus,Bromus hordeaceus,Constant,Man-made,Mediterranean subnitrophilous annual grassland
2690424,Cakile maritima,Cakile maritima,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
2690424,Cakile maritima,Cakile maritima,Dominant,Coastal,Mediterranean and Black Sea sand beach
2690424,Cakile maritima,Cakile maritima,Constant,Coastal,Mediterranean and Black Sea sand beach
2690424,Cakile maritima,Cakile maritima,Diagnostic,Coastal,Mediterranean and Black Sea sand beach
2690424,Cakile maritima,Cakile maritima,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
2690424,Cakile maritima,Cakile maritima,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
2690424,Cakile maritima,Cakile maritima,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
402386,Calamagrostis arenaria,Ammophila arenaria,Dominant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
402386,Calamagrostis arenaria,Ammophila arenaria,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
402386,Calamagrostis arenaria,Ammophila arenaria,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
402386,Calamagrostis arenaria,Ammophila arenaria,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
402386,Calamagrostis arenaria,Ammophila arenaria,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
3086950,Calendula arvensis,Calendula arvensis,Diagnostic,Man-made,Mediterranean subnitrophilous annual grassland
3086950,Calendula arvensis,Calendula arvensis,Constant,Man-made,Mediterranean subnitrophilous annual grassland
2691866,Calicotome villosa,Calicotome villosa,Diagnostic,Scrublands,Thermomediterranean arid scrub
2691866,Calicotome villosa,Calicotome villosa,Constant,Scrublands,Mediterranean maquis and arborescent matorral
2691866,Calicotome villosa,Calicotome villosa,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
2691866,Calicotome villosa,Calicotome villosa,Constant,Scrublands,Thermomediterranean arid scrub
2691866,Calicotome villosa,Calicotome villosa,Constant,Scrublands,Western Mediterranean spiny heath
2692970,Calluna vulgaris,Calluna vulgaris,Dominant,Scrublands,Lowland to montane temperate and submediterranean Juniperus scrub
2692970,Calluna vulgaris,Calluna vulgaris,Constant,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
2692970,Calluna vulgaris,Calluna vulgaris,Constant,Scrublands,Lowland to montane temperate and submediterranean Juniperus scrub
2692970,Calluna vulgaris,Calluna vulgaris,Constant,Grasslands,Iberian oromediterranean siliceous dry grassland
2692970,Calluna vulgaris,Calluna vulgaris,Constant,Forests,Mediterranean montane Pinus sylvestris-Pinus nigra forest
483585,Calystegia soldanella,Calystegia soldanella,Constant,Coastal,Mediterranean and Black Sea sand beach
483585,Calystegia soldanella,Calystegia soldanella,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
483585,Calystegia soldanella,Calystegia soldanella,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
483585,Calystegia soldanella,Calystegia soldanella,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
483585,Calystegia soldanella,Calystegia soldanella,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
364698,Campanula barbata,Campanula glomerata,Constant,Forests,Mediterranean and Balkan subalpine Pinus heldreichii-Pinus peuce forest
365918,Campanula scheuchzeri,Campanula rotundifolia,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
226238,Carex echinata,Carex echinata,Constant,Wetlands,Relict mire of Mediterranean mountains
226238,Carex echinata,Carex echinata,Diagnostic,Wetlands,Relict mire of Mediterranean mountains
228063,Carex lepidocarpa,Carex lepidocarpa,Constant,Wetlands,Relict mire of Mediterranean mountains
533648,Carex sempervirens,Carex bulgarica,Diagnostic,Wetlands,Relict mire of Mediterranean mountains
533648,Carex sempervirens,Carex bulgarica,Constant,Wetlands,Relict mire of Mediterranean mountains
3049312,Centaurea scabiosa,Centaurea scabiosa,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
3050662,Centaurea sphaerocephala,Centaurea sphaerocephala,Diagnostic,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
3047731,Centaurea stoebe,Centaurea affinis,Diagnostic,Scrublands,Eastern Mediterranean mountain hedgehog-heath
2708736,Centaurium pulchellum,Centaurium pulchellum,Constant,Grasslands,Mediterranean short moist grassland of lowlands
2708736,Centaurium pulchellum,Centaurium pulchellum,Diagnostic,Grasslands,Mediterranean short moist grassland of lowlands
2709949,Cerastium arvense,Cerastium arvense,Constant,Scrublands,Central Mediterranean mountain hedgehog-heath
2723264,Cistus albidus,Cistus albidus,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2723324,Cistus clusii,Cistus clusii,Diagnostic,Scrublands,Mediterranean gypsum scrub
2723343,Cistus creticus,Cistus creticus,Constant,Coastal,Mediterranean coniferous coastal dune forest
2723343,Cistus creticus,Cistus creticus,Constant,Scrublands,Mediterranean maquis and arborescent matorral
2723343,Cistus creticus,Cistus creticus,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2723343,Cistus creticus,Cistus creticus,Constant,Forests,Mediterranean Cupressaceae forest
2723343,Cistus creticus,Cistus creticus,Constant,Scrublands,Western Mediterranean spiny heath
2723343,Cistus creticus,Cistus creticus,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
2723343,Cistus creticus,Cistus creticus,Constant,Coastal,Mediterranean and Black Sea coastal dune scrub
2723524,Cistus monspeliensis,Cistus monspeliensis,Dominant,Coastal,Mediterranean coniferous coastal dune forest
2723524,Cistus monspeliensis,Cistus monspeliensis,Constant,Scrublands,Western Mediterranean spiny heath
2723524,Cistus monspeliensis,Cistus monspeliensis,Diagnostic,Scrublands,Western Mediterranean spiny heath
2723524,Cistus monspeliensis,Cistus monspeliensis,Constant,Scrublands,Mediterranean maquis and arborescent matorral
2723524,Cistus monspeliensis,Cistus monspeliensis,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2723524,Cistus monspeliensis,Cistus monspeliensis,Dominant,Scrublands,Western Mediterranean spiny heath
2723524,Cistus monspeliensis,Cistus monspeliensis,Constant,Scrublands,Thermomediterranean arid scrub
2723633,Cistus salviifolius,Cistus salviifolius,Diagnostic,Scrublands,Western Mediterranean spiny heath
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Scrublands,Mediterranean maquis and arborescent matorral
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Coastal,Mediterranean coniferous coastal dune forest
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Scrublands,Western Mediterranean spiny heath
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Forests,Mediterranean thermophilous deciduous forest
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Forests,Mediterranean lowland to submontane Pinus forest
2723633,Cistus salviifolius,Cistus salviifolius,Constant,Forests,Mediterranean evergreen Quercus forest
2726964,Clematis vitalba,Clematis vitalba,Constant,Forests,Temperate and submediterranean thermophilous deciduous forest
2726964,Clematis vitalba,Clematis vitalba,Constant,Forests,Mediterranean and Macaronesian riparian forest
2726964,Clematis vitalba,Clematis vitalba,Constant,Forests,Mediterranean thermophilous deciduous forest
2726964,Clematis vitalba,Clematis vitalba,Constant,Scrublands,Temperate and submediterranean thorn scrub
42347,Cleonia lusitanica,Cleonia lusitanica,Diagnostic,Grasslands,Mediterranean annual-rich dry grassland
2737610,Coris monspeliensis,Coris monspeliensis,Diagnostic,Scrublands,Mediterranean gypsum scrub
2737610,Coris monspeliensis,Coris monspeliensis,Constant,Scrublands,Mediterranean gypsum scrub
2737979,Coronilla minima,Coronilla minima,Diagnostic,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
2737979,Coronilla minima,Coronilla minima,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
2737979,Coronilla minima,Coronilla minima,Constant,Grasslands,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe
2737979,Coronilla minima,Coronilla minima,Constant,Scrublands,Western Mediterranean mountain hedgehog-heath
2737979,Coronilla minima,Coronilla minima,Constant,Grasslands,Iberian oromediterranean basiphilous dry grassland
2737979,Coronilla minima,Coronilla minima,Diagnostic,Grasslands,Iberian oromediterranean basiphilous dry grassland
2737979,Coronilla minima,Coronilla minima,Constant,Scrublands,Submediterranean pseudomaquis
2742223,Crassula tillaea,Crassula tillaea,Diagnostic,Grasslands,"Mediterranean to Atlantic open, dry, acid and neutral grassland"
2742910,Crithmum maritimum,Crithmum maritimum,Constant,Coastal,Mediterranean and Black Sea coastal shingle beach
2742910,Crithmum maritimum,Crithmum maritimum,Constant,Coastal,Mediterranean and Black Sea rocky sea cliff and shore
2742910,Crithmum maritimum,Crithmum maritimum,Dominant,Coastal,Mediterranean and Black Sea coastal shingle beach
2742910,Crithmum maritimum,Crithmum maritimum,Diagnostic,Coastal,Mediterranean and Black Sea coastal shingle beach
2742910,Crithmum maritimum,Crithmum maritimum,Diagnostic,Coastal,Mediterranean and Black Sea rocky sea cliff and shore
2742910,Crithmum maritimum,Crithmum maritimum,Dominant,Coastal,Mediterranean and Black Sea rocky sea cliff and shore
51670,Crucianella latifolia,Crucianella latifolia,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
51670,Crucianella latifolia,Crucianella latifolia,Diagnostic,Scrublands,Eastern Mediterranean spiny heath (phrygana)
51675,Crucianella maritima,Crucianella maritima,Dominant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
51675,Crucianella maritima,Crucianella maritima,Diagnostic,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
51675,Crucianella maritima,Crucianella maritima,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
406482,Cynosurus echinatus,Cynosurus echinatus,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
406482,Cynosurus echinatus,Cynosurus echinatus,Constant,Forests,Mediterranean mountain Abies forest
235982,Cyperus capitatus,Cyperus capitatus,Diagnostic,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
235982,Cyperus capitatus,Cyperus capitatus,Constant,Coastal,Mediterranean and Black Sea sand beach
235982,Cyperus capitatus,Cyperus capitatus,Constant,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
235982,Cyperus capitatus,Cyperus capitatus,Diagnostic,Coastal,Mediterranean and Macaronesian coastal dune grassland (grey dune)
235982,Cyperus capitatus,Cyperus capitatus,Constant,Coastal,"Mediterranean, Macaronesian and Black Sea shifting coastal dune"
2754907,Cytisus scoparius,Cytisus scoparius,Dominant,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
2754907,Cytisus scoparius,Cytisus scoparius,Constant,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
2754907,Cytisus scoparius,Cytisus scoparius,Diagnostic,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
2754935,Cytisus striatus,Cytisus striatus,Diagnostic,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Grasslands,Mediterranean short moist grassland of lowlands
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean montane Cedrus forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Thermomediterranean arid scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Submediterranean pseudomaquis
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean thermophilous deciduous forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Eastern Mediterranean mountain hedgehog-heath
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean evergreen Quercus forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean and Macaronesian riparian forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Grasslands,Mediterranean tall perennial dry grassland
406640,Dactylis glomerata,Dactylis glomerata,Constant,Grasslands,Mediterranean closely grazed dry grassland
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean Cupressaceae forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Man-made,Mediterranean subnitrophilous annual grassland
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean and Balkan subalpine Pinus heldreichii-Pinus peuce forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean lowland to submontane Pinus forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Mediterranean gypsum scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Mediterranean halo-nitrophilous scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Temperate and submediterranean thermophilous deciduous forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Eastern Mediterranean spiny heath (phrygana)
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Temperate and submediterranean thorn scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Central Mediterranean mountain hedgehog-heath
406640,Dactylis glomerata,Dactylis glomerata,Constant,Forests,Mediterranean mountain Abies forest
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Lowland to montane temperate and submediterranean genistoid scrub
406640,Dactylis glomerata,Dactylis glomerata,Constant,Scrublands,Western Mediterranean spiny heath
